employee_name,department_name
Pedro García,Product
Valentina Fernández,Product
Martín Pérez,Marketing
Sofía Pérez,Product
María Torres,Soporte
Mateo Rodríguez,Marketing
Lucía Ramírez,Operaciones
Carlos Martínez,Legal
Lucas Ramírez,Soporte
Valentina Torres,Marketing
Mateo González,Operaciones
Pedro Fernández,Recursos Humanos
Mateo Pérez,Ventas
María Martínez,Recursos Humanos
Diego Ramírez,Ingeniería
Martín López,Soporte
Valentina Sánchez,Ingeniería
Valentina Pérez,Marketing
Camila Sánchez,Ventas
Diego Sánchez,Ventas
Lucas Ramírez,Ventas
Gabriel Torres,Finanzas
Lucas Fernández,Data
Lucas Sánchez,Finanzas
Ana López,Ventas
Pedro García,Marketing
Mateo García,Soporte
Mateo Sánchez,Operaciones
Gabriel Rodríguez,Operaciones
Sofía González,Legal
Lucía Pérez,Ventas
Lucas Fernández,Recursos Humanos
Laura Fernández,Finanzas
Sofía Martínez,Operaciones
Valentina Pérez,Data
Pedro García,Operaciones
Lucas González,Operaciones
Carlos Torres,Ingeniería
Camila Pérez,Finanzas
María García,Marketing
Diego Fernández,Operaciones
Sofía Sánchez,Operaciones
Lucía Fernández,Operaciones
Sofía García,Product
Pedro García,Finanzas
Mateo García,Legal
Pedro López,Operaciones
Pedro López,Finanzas
Gabriel Ramírez,Ventas
Gabriel Pérez,Soporte
Ana González,Ventas
Sofía Rodríguez,Product
Pedro Torres,Legal
Camila Fernández,Finanzas
Carlos García,Recursos Humanos
Diego López,Ingeniería
Camila Rodríguez,Marketing
Diego López,Ingeniería
Mateo Ramírez,Marketing
Carlos López,Finanzas
Lucas Martínez,Marketing
Camila González,Finanzas
Valentina Rodríguez,Finanzas
Carlos Pérez,Operaciones
Diego González,Operaciones
Laura Rodríguez,Recursos Humanos
Camila García,Product
Gabriel López,Data
Lucía García,Legal
María González,Marketing
Carlos Torres,Soporte
Ana González,Product
Mateo García,Marketing
Lucía Rodríguez,Data
Lucía López,Ingeniería
Juan Sánchez,Finanzas
María López,Operaciones
Lucía Pérez,Ventas
Diego González,Recursos Humanos
Carlos Pérez,Product
Sofía Ramírez,Marketing
Lucas López,Product
Pedro Torres,Data
Gabriel Fernández,Marketing
Lucas López,Marketing
Pedro Sánchez,Ingeniería
Juan García,Ventas
Valentina González,Ingeniería
Lucía García,Operaciones
Martín Fernández,Product
Pedro Martínez,Recursos Humanos
Juan Ramírez,Marketing
Ana Ramírez,Ingeniería
Gabriel López,Soporte
Juan Ramírez,Operaciones
María Sánchez,Marketing
Pedro Torres,Recursos Humanos
María Ramírez,Marketing
Juan García,Recursos Humanos
Laura López,Ventas
Ana Pérez,Recursos Humanos
Carlos Martínez,Operaciones
Carlos Torres,Operaciones
Lucas Fernández,Finanzas
Laura Rodríguez,Ventas
Laura Martínez,Operaciones
Diego Fernández,Finanzas
Juan Fernández,Data
Carlos García,Legal
Lucas Ramírez,Legal
María Sánchez,Legal
Valentina Fernández,Finanzas
Juan González,Finanzas
Martín Martínez,Data
Sofía Sánchez,Ventas
Sofía Ramírez,Ingeniería
Martín Martínez,Recursos Humanos
María Fernández,Operaciones
Martín Torres,Operaciones
Juan López,Finanzas
Valentina Sánchez,Soporte
Lucas Pérez,Ventas
Lucía González,Data
Laura Rodríguez,Soporte
Gabriel López,Product
Gabriel Sánchez,Product
Diego Rodríguez,Data
Valentina Martínez,Data
Lucas Pérez,Marketing
Juan Pérez,Recursos Humanos
Pedro Ramírez,Marketing
Lucas Sánchez,Marketing
Valentina Ramírez,Legal
Valentina Torres,Marketing
María González,Legal
Gabriel Sánchez,Marketing
Gabriel Torres,Legal
Juan Fernández,Operaciones
Gabriel Pérez,Marketing
Lucía Torres,Finanzas
Carlos García,Recursos Humanos
Pedro García,Data
Sofía Rodríguez,Ventas
Carlos Rodríguez,Soporte
Gabriel Sánchez,Legal
Laura Fernández,Ventas
Diego Torres,Data
Valentina Martínez,Finanzas
Juan Sánchez,Data
Juan Martínez,Ingeniería
Valentina Torres,Data
Martín García,Marketing
Laura Fernández,Ventas
Diego Pérez,Soporte
Pedro Torres,Product
Lucía Torres,Finanzas
Laura Rodríguez,Recursos Humanos
Diego Pérez,Soporte
Laura Torres,Legal
Lucas García,Legal
Mateo Fernández,Operaciones
Valentina López,Soporte
Lucas Pérez,Product
Camila Pérez,Recursos Humanos
Mateo Ramírez,Legal
Lucas López,Ingeniería
Sofía Fernández,Product
Lucas Fernández,Data
Juan García,Ventas
Gabriel Fernández,Finanzas
Lucía Pérez,Product
Camila Ramírez,Operaciones
Lucía Martínez,Ventas
Juan Fernández,Ingeniería
Laura Pérez,Product
Valentina Pérez,Data
Gabriel González,Data
Gabriel Torres,Data
Sofía Pérez,Marketing
Valentina Ramírez,Ventas
Martín García,Ingeniería
Martín Sánchez,Ingeniería
Ana Fernández,Ventas
Mateo López,Soporte
Mateo García,Soporte
Martín Sánchez,Ventas
Pedro Pérez,Marketing
Carlos Martínez,Recursos Humanos
Laura Rodríguez,Marketing
Pedro Fernández,Ingeniería
Mateo Pérez,Data
Juan Martínez,Product
Ana García,Product
Juan López,Legal
Carlos López,Legal
Martín Martínez,Ventas
María Sánchez,Product
Pedro Torres,Ventas
Diego Ramírez,Finanzas
Gabriel Ramírez,Data
Camila Torres,Legal
Pedro Rodríguez,Marketing
Ana Martínez,Soporte
Mateo Torres,Marketing
Ana Ramírez,Legal
Sofía Sánchez,Soporte
Ana López,Operaciones
Lucas González,Data
Ana Rodríguez,Recursos Humanos
Carlos Martínez,Marketing
Camila Rodríguez,Recursos Humanos
Lucas Martínez,Data
Diego Torres,Marketing
Ana López,Legal
Diego Martínez,Finanzas
Sofía Pérez,Finanzas
Mateo García,Operaciones
Martín González,Product
Gabriel González,Product
Pedro Martínez,Legal
Laura López,Data
Juan López,Data
Camila Sánchez,Ventas
Gabriel Rodríguez,Ingeniería
Diego Torres,Legal
Lucía Martínez,Finanzas
