employee_name,department_name,base_salary,salary_date
Sofía Pérez,Product,129539,2015-03-22
Lucas Fernández,Data,79983,2016-02-10
Lucas Sánchez,Finanzas,30775,2018-02-19
Laura Fernández,Finanzas,48122,2018-04-06
María García,Marketing,43641,2023-01-27
Lucía Fernández,Operaciones,107552,2016-01-04
Pedro García,Finanzas,78386,2017-03-05
Ana González,Ventas,34917,2017-12-30
Diego López,Ingeniería,43586,2019-12-27
Ana González,Product,68842,2021-07-19
María Sánchez,Legal,59380,2015-04-13
Juan López,Finanzas,43758,2015-12-05
Gabriel Sánchez,Marketing,32091,2017-09-02
Lucía Pérez,Product,334897,2023-01-11
Ana García,Product,91039,2019-10-25
Martín Martínez,Ventas,35960,2017-05-13
Ana Martínez,Soporte,119707,2020-09-12
Sofía Sánchez,Soporte,49680,2022-05-03
Ana López,Finanzas,38748,2018-07-04
Gabriel Martínez,Product,45666,2018-03-12
Laura López,Legal,104551,2015-11-22
Carlos Martínez,Data,49362,2021-12-03
Ana Rodríguez,Recursos Humanos,115405,2021-07-12
Ana Fernández,Marketing,308127,2020-09-15
Camila Ramírez,Marketing,110538,2017-06-09
Gabriel Ramírez,Recursos Humanos,51511,2015-12-08
María Rodríguez,Ingeniería,38732,2019-04-30
Juan Torres,Ventas,84592,2022-11-21
Camila Rodríguez,Ingeniería,50843,2016-08-30
Valentina García,Finanzas,30003,2023-11-20
Martín Pérez,Data,59952,2018-06-23
Camila Pérez,Ventas,85045,2017-02-21
Ana Rodríguez,Legal,71564,2018-07-25
Sofía Torres,Data,84221,2021-05-14
Pedro Sánchez,Ventas,109633,2015-07-03
Pedro Fernández,Recursos Humanos,29569,2015-06-16
Diego Sánchez,Ventas,63012,2015-09-15
Pedro García,Operaciones,122054,2016-03-03
Gabriel López,Data,91713,2021-03-03
Lucía García,Legal,59547,2019-10-05
María Ramírez,Marketing,42404,2020-11-24
Sofía Ramírez,Ingeniería,126474,2018-02-19
Pedro García,Data,65800,2015-01-21
Laura Fernández,Ventas,122819,2016-07-03
Martín Sánchez,Ventas,80193,2021-09-27
Diego Martínez,Finanzas,82286,2020-10-30
Camila Sánchez,Ventas,28630,2016-09-26
Ana García,Ventas,41510,2023-06-26
Ana Martínez,Ingeniería,108646,2020-12-12
Valentina Fernández,Ventas,171314,2018-04-07
María Sánchez,Data,102510,2018-05-21
Lucía García,Recursos Humanos,96303,2018-10-17
María Rodríguez,Soporte,154575,2019-07-31
Lucas García,Ventas,36305,2020-06-28
