employee_name,manager_name
Lucía Ramírez,María Torres
Carlos Martínez,Mateo Rodríguez
Lucas Ramírez,Lucía Ramírez
Valentina Torres,Lucas Ramírez
Mateo González,Valentina Torres
Pedro Fernández,Valentina Fernández
Mateo Pérez,Martín Pérez
María Martínez,Martín Pérez
Diego Ramírez,Lucía Ramírez
Martín López,Lucas Ramírez
Valentina Sánchez,Pedro García
Valentina Pérez,Valentina Torres
Camila Sánchez,Valentina Sánchez
Diego Sánchez,Valentina Torres
Lucas Ramírez,Valentina Pérez
Gabriel Torres,Martín Pérez
Lucas Fernández,Carlos Martínez
Lucas Sánchez,María Martínez
Ana López,María Martínez
Pedro García,Lucía Ramírez
Mateo García,Diego Sánchez
Mateo Sánchez,Lucía Ramírez
Gabriel Rodríguez,Carlos Martínez
Sofía González,Valentina Sánchez
Lucía Pérez,Carlos Martínez
Lucas Fernández,Mateo González
Laura Fernández,Camila Sánchez
Sofía Martínez,Lucía Ramírez
Valentina Pérez,Diego Sánchez
Pedro García,Lucas Ramírez
Lucas González,Valentina Torres
Carlos Torres,Martín Pérez
Camila Pérez,Pedro Fernández
María García,Lucía Ramírez
Diego Fernández,María Torres
Sofía Sánchez,Mateo Pérez
Lucía Fernández,Mateo Pérez
Sofía García,Camila Sánchez
Pedro García,Diego Sánchez
Mateo García,Diego Ramírez
Pedro López,Lucía Ramírez
Pedro López,Valentina Pérez
Gabriel Ramírez,Lucas Ramírez
Gabriel Pérez,Valentina Sánchez
Ana González,María Torres
Sofía Rodríguez,Lucía Ramírez
Pedro Torres,Valentina Pérez
Camila Fernández,Valentina Fernández
Carlos García,Valentina Sánchez
Diego López,Sofía Pérez
Camila Rodríguez,María Martínez
Diego López,Valentina Fernández
Mateo Ramírez,Valentina Pérez
Carlos López,Pedro Fernández
Lucas Martínez,Mateo Pérez
Camila González,Mateo Pérez
Valentina Rodríguez,Lucía Ramírez
Carlos Pérez,Diego Ramírez
Diego González,Sofía Pérez
Laura Rodríguez,Lucas Ramírez
Camila García,Camila Sánchez
Gabriel López,Mateo González
Lucía García,Martín Pérez
María González,Sofía Pérez
Carlos Torres,Pedro García
Ana González,Pedro García
Mateo García,Diego Sánchez
Lucía Rodríguez,Valentina Torres
Lucía López,María Martínez
Juan Sánchez,Lucas Ramírez
María López,Mateo González
Lucía Pérez,Mateo Pérez
Diego González,María Martínez
Carlos Pérez,Mateo González
Sofía Ramírez,Pedro García
Lucas López,Camila Sánchez
Pedro Torres,Mateo Rodríguez
Gabriel Fernández,Valentina Pérez
Lucas López,Diego Ramírez
Pedro Sánchez,Diego Sánchez
Juan García,Mateo Rodríguez
Valentina González,Martín López
Lucía García,Mateo Rodríguez
Martín Fernández,María Torres
Pedro Martínez,Valentina Pérez
Juan Ramírez,Lucas Ramírez
Ana Ramírez,Diego Ramírez
Gabriel López,Diego Ramírez
Juan Ramírez,María Torres
María Sánchez,Pedro García
Pedro Torres,Lucía Ramírez
María Ramírez,Valentina Sánchez
Juan García,Camila Sánchez
Laura López,Martín Pérez
Ana Pérez,Mateo Pérez
Carlos Martínez,Martín Pérez
Carlos Torres,Sofía Pérez
Lucas Fernández,Martín Pérez
Laura Rodríguez,Pedro Fernández
Laura Martínez,Carlos Martínez
Diego Fernández,Pedro García
Juan Fernández,María Martínez
Carlos García,Valentina Sánchez
Lucas Ramírez,Valentina Pérez
María Sánchez,María Torres
Valentina Fernández,Pedro García
Juan González,Martín López
Martín Martínez,Sofía Pérez
Sofía Sánchez,Pedro Fernández
Sofía Ramírez,Diego Ramírez
Martín Martínez,Lucas Ramírez
María Fernández,Camila Sánchez
Martín Torres,María Martínez
